experiment_id,timestamp,x,y,true_label,before_data_and_weigths_rotation_prediction,before_data_and_weigths_rotation_confidence,after_data_and_before_weigths_rotation_prediction,after_data_and_before_weigths_rotation_confidence,before_data_and_after_weigths_rotation_prediction,before_data_and_after_weigths_rotation_confidence,after_data_and_weigths_rotation_prediction,after_data_and_weigths_rotation_confidence,after_data_and_before_weigths_rotation_prediction_match,after_data_and_before_weigths_rotation_confidence_change,before_data_and_after_weigths_rotation_prediction_match,before_data_and_after_weigths_rotation_confidence_change,after_data_and_weigths_rotation_prediction_match,after_data_and_weigths_rotation_confidence_change
21,2025-11-29 16:45:13,2.659987,6.161905,0,out,0.011013,out,0.012855,out,0.023609,out,0.011013,true,0.001842,true,0.012596,true,0.000000
22,2025-11-29 16:45:13,9.333763,6.351922,1,in,0.976309,out,0.012867,out,0.029587,in,0.976309,false,-0.963442,false,-0.946722,true,0.000000
23,2025-11-29 16:45:13,11.134523,4.545376,0,out,0.093248,out,0.012966,out,0.020617,out,0.093248,true,-0.080282,true,-0.072631,true,0.000000
24,2025-11-29 16:45:13,9.453466,7.729161,1,in,0.831754,out,0.012857,out,0.029689,in,0.831755,false,-0.818897,false,-0.802065,true,0.000000
25,2025-11-29 16:45:13,4.522678,1.265478,1,in,0.856819,out,0.012820,out,0.029121,in,0.856819,false,-0.843999,false,-0.827699,true,0.000000
26,2025-11-29 16:45:13,7.607137,6.024675,1,in,0.979792,out,0.012837,out,0.029670,in,0.979792,false,-0.966954,false,-0.950122,true,0.000000
27,2025-11-29 16:45:13,4.607725,2.230707,0,out,0.143867,out,0.012818,out,0.029413,out,0.143867,true,-0.131050,true,-0.114454,true,0.000000
28,2025-11-29 16:45:13,3.410720,2.715500,1,in,0.979761,out,0.012808,out,0.028244,in,0.979761,false,-0.966954,false,-0.951518,true,0.000000
29,2025-11-29 16:45:13,5.808163,3.463310,0,out,0.018694,out,0.012826,out,0.029590,out,0.018694,true,-0.005868,true,0.010897,true,0.000000
30,2025-11-29 16:45:13,8.703228,10.721523,0,out,0.228629,out,0.012857,out,0.030113,out,0.228629,true,-0.215772,true,-0.198515,true,0.000000
31,2025-11-29 16:45:13,0.819743,1.325585,0,out,0.020923,out,0.012743,out,0.011018,out,0.020923,true,-0.008180,true,-0.009905,true,0.000000
32,2025-11-29 16:45:13,5.991563,6.706435,1,in,0.871804,out,0.012825,out,0.029829,in,0.871804,false,-0.858979,false,-0.841975,true,0.000000
33,2025-11-29 16:45:13,4.700014,9.126263,0,out,0.010940,out,0.012911,out,0.030369,out,0.010940,true,0.001971,true,0.019429,true,0.000000
34,2025-11-29 16:45:13,8.784705,6.103191,1,in,0.985049,out,0.012857,out,0.029606,in,0.985049,false,-0.972192,false,-0.955444,true,0.000000
35,2025-11-29 16:45:13,1.787260,1.287769,1,in,0.966574,out,0.012775,out,0.014303,in,0.966574,false,-0.953799,false,-0.952271,true,0.000000
36,2025-11-29 16:45:13,4.958566,2.223794,0,out,0.032880,out,0.012822,out,0.029461,out,0.032880,true,-0.020058,true,-0.003419,true,0.000000
37,2025-11-29 16:45:13,1.115230,1.226435,0,out,0.159314,out,0.012731,out,0.011115,out,0.159314,true,-0.146583,true,-0.148199,true,0.000000
38,2025-11-29 16:45:13,6.208071,8.980055,0,out,0.010905,out,0.012854,out,0.030131,out,0.010905,true,0.001949,true,0.019226,true,0.000000
39,2025-11-29 16:45:13,10.181705,6.179089,1,in,0.843038,out,0.012893,out,0.029434,in,0.843038,false,-0.830145,false,-0.813604,true,0.000000
40,2025-11-29 16:45:13,2.237359,7.911226,0,out,0.011011,out,0.012986,out,0.011311,out,0.011011,true,0.001975,true,0.000300,true,0.000000
41,2025-11-29 16:45:13,0.478516,9.843496,0,out,0.011013,out,0.012516,out,0.011017,out,0.011013,true,0.001503,true,0.000004,true,0.000000
42,2025-11-29 16:45:13,2.566568,4.970932,0,out,0.011025,out,0.012827,out,0.024404,out,0.011025,true,0.001802,true,0.013379,true,0.000000
43,2025-11-29 16:45:13,6.071526,8.838198,0,out,0.010938,out,0.012853,out,0.030124,out,0.010938,true,0.001915,true,0.019186,true,0.000000
44,2025-11-29 16:45:13,4.615602,1.526862,1,in,0.822274,out,0.012821,out,0.029250,in,0.822274,false,-0.809454,false,-0.793024,true,-0.000000
45,2025-11-29 16:45:13,1.536477,0.001555,0,out,0.013186,out,0.011484,out,0.012399,out,0.013186,true,-0.001702,true,-0.000787,true,0.000000
46,2025-11-29 16:45:13,7.160419,9.162447,1,in,0.878086,out,0.012845,out,0.030043,in,0.878086,false,-0.865241,false,-0.848043,true,0.000000
47,2025-11-29 16:45:13,6.955130,6.118203,1,in,0.971345,out,0.012829,out,0.029714,in,0.971345,false,-0.958516,false,-0.941631,true,0.000000
48,2025-11-29 16:45:13,8.003185,8.169173,1,in,0.984478,out,0.012837,out,0.029828,in,0.984478,false,-0.971641,false,-0.954650,true,0.000000
49,2025-11-29 16:45:13,4.154975,4.025421,0,out,0.226443,out,0.012812,out,0.029454,out,0.226443,true,-0.213631,true,-0.196989,true,0.000000
50,2025-11-29 16:45:13,10.146261,0.035043,0,out,0.010310,out,0.013044,out,0.011015,out,0.010310,true,0.002734,true,0.000706,true,0.000000
51,2025-11-29 16:45:13,9.609653,5.219421,1,in,0.928297,out,0.012890,out,0.029199,in,0.928297,false,-0.915408,false,-0.899098,true,-0.000000
52,2025-11-29 16:45:13,3.667647,1.865351,1,in,0.977114,out,0.012810,out,0.028504,in,0.977114,false,-0.964305,false,-0.948611,true,0.000000
53,2025-11-29 16:45:13,2.237894,4.572438,0,out,0.011064,out,0.012825,out,0.019381,out,0.011064,true,0.001761,true,0.008317,true,0.000000
54,2025-11-29 16:45:13,11.152946,2.294101,0,out,0.032525,out,0.013035,out,0.011030,out,0.032525,true,-0.019490,true,-0.021495,true,-0.000000
55,2025-11-29 16:45:13,8.609428,5.774458,1,in,0.982188,out,0.012857,out,0.029589,in,0.982188,false,-0.969332,false,-0.952599,true,-0.000000
56,2025-11-29 16:45:13,2.458916,5.785980,0,out,0.011015,out,0.012849,out,0.020577,out,0.011015,true,0.001834,true,0.009562,true,0.000000
57,2025-11-29 16:45:13,7.137621,5.785209,1,in,0.965266,out,0.012832,out,0.029679,in,0.965266,false,-0.952434,false,-0.935587,true,0.000000
58,2025-11-29 16:45:13,3.087431,1.629729,1,in,0.983548,out,0.012805,out,0.026430,in,0.983548,false,-0.970743,false,-0.957118,true,0.000000
59,2025-11-29 16:45:13,6.899175,6.324148,1,in,0.973982,out,0.012828,out,0.029733,in,0.973982,false,-0.961154,false,-0.944249,true,0.000000
60,2025-11-29 16:45:13,9.664498,5.841474,1,in,0.967166,out,0.012882,out,0.029459,in,0.967166,false,-0.954283,false,-0.937707,true,0.000000
61,2025-11-29 16:45:13,4.333198,8.971535,0,out,0.010972,out,0.012922,out,0.030342,out,0.010972,true,0.001949,true,0.019370,true,0.000000
62,2025-11-29 16:45:13,8.814928,10.736998,0,out,0.200205,out,0.012856,out,0.030102,out,0.200205,true,-0.187349,true,-0.170104,true,0.000000
63,2025-11-29 16:45:13,4.681067,5.842642,0,out,0.020617,out,0.012821,out,0.029783,out,0.020617,true,-0.007796,true,0.009167,true,-0.000000
64,2025-11-29 16:45:13,2.529562,2.866087,1,in,0.978792,out,0.012807,out,0.023743,in,0.978792,false,-0.965985,false,-0.955049,true,0.000000
65,2025-11-29 16:45:13,3.961146,6.638975,0,out,0.011014,out,0.012839,out,0.029805,out,0.011014,true,0.001825,true,0.018791,true,0.000000
66,2025-11-29 16:45:13,4.981190,5.041632,0,in,0.514436,out,0.012817,out,0.029706,in,0.514436,false,-0.501620,false,-0.484730,true,-0.000000
67,2025-11-29 16:45:13,9.811533,0.840387,0,out,0.010513,out,0.012995,out,0.011021,out,0.010513,true,0.002482,true,0.000508,true,0.000000
68,2025-11-29 16:45:13,9.763653,5.519923,1,in,0.955640,out,0.012890,out,0.029306,in,0.955640,false,-0.942750,false,-0.926334,true,-0.000000
69,2025-11-29 16:45:13,11.086082,5.866134,0,out,0.262988,out,0.012933,out,0.028540,out,0.262989,true,-0.250056,true,-0.234448,true,0.000001
70,2025-11-29 16:45:13,5.742747,4.214210,0,out,0.141653,out,0.012822,out,0.029642,out,0.141653,true,-0.128831,true,-0.112011,true,0.000000
71,2025-11-29 16:45:13,8.148134,10.712278,0,out,0.270707,out,0.012863,out,0.030189,out,0.270707,true,-0.257844,true,-0.240518,true,0.000000
72,2025-11-29 16:45:13,10.353125,8.994899,0,out,0.124033,out,0.012865,out,0.029737,out,0.124033,true,-0.111168,true,-0.094296,true,0.000000
73,2025-11-29 16:45:13,9.870326,7.066615,1,in,0.799310,out,0.012873,out,0.029612,in,0.799310,false,-0.786437,false,-0.769697,true,0.000000
74,2025-11-29 16:45:13,8.786842,4.807032,0,in,0.540128,out,0.012872,out,0.029350,in,0.540127,false,-0.527256,false,-0.510778,true,-0.000001
75,2025-11-29 16:45:13,8.271847,8.259616,1,in,0.978544,out,0.012839,out,0.029816,in,0.978544,false,-0.965705,false,-0.948728,true,0.000000
76,2025-11-29 16:45:13,11.039322,7.161385,0,out,0.158476,out,0.012906,out,0.029505,out,0.158476,true,-0.145570,true,-0.128971,true,0.000000
77,2025-11-29 16:45:13,6.782717,5.100546,1,in,0.826504,out,0.012831,out,0.029653,in,0.826504,false,-0.813673,false,-0.796851,true,0.000000
78,2025-11-29 16:45:13,3.716615,1.104270,1,in,0.909040,out,0.012808,out,0.028309,in,0.909040,false,-0.896232,false,-0.880731,true,0.000000
79,2025-11-29 16:45:13,0.067135,3.149247,0,out,0.023347,out,0.012866,out,0.011005,out,0.023347,true,-0.010480,true,-0.012341,true,0.000000
80,2025-11-29 16:45:13,3.400696,2.467356,1,in,0.982737,out,0.012808,out,0.028115,in,0.982737,false,-0.969929,false,-0.954622,true,0.000000
81,2025-11-29 16:45:13,3.179350,2.700514,1,in,0.985247,out,0.012807,out,0.027537,in,0.985247,false,-0.972441,false,-0.957710,true,0.000000
82,2025-11-29 16:45:13,4.340220,1.553956,1,in,0.925063,out,0.012817,out,0.029179,in,0.925063,false,-0.912245,false,-0.895884,true,-0.000000
83,2025-11-29 16:45:13,6.470816,7.249716,1,in,0.959720,out,0.012828,out,0.029852,in,0.959719,false,-0.946891,false,-0.929867,true,-0.000000
84,2025-11-29 16:45:13,8.218560,1.174004,0,out,0.011170,out,0.012910,out,0.012040,out,0.011170,true,0.001740,true,0.000870,true,0.000000
85,2025-11-29 16:45:13,3.501766,5.957501,0,out,0.011018,out,0.012832,out,0.029345,out,0.011018,true,0.001814,true,0.018328,true,0.000000
86,2025-11-29 16:45:13,8.601448,9.433508,1,in,0.776160,out,0.012844,out,0.029926,in,0.776160,false,-0.763316,false,-0.746234,true,0.000000
87,2025-11-29 16:45:13,7.800343,7.659984,1,in,0.987179,out,0.012835,out,0.029792,in,0.987179,false,-0.974344,false,-0.957387,true,0.000000
88,2025-11-29 16:45:13,3.917901,7.004864,0,out,0.011008,out,0.012849,out,0.029857,out,0.011008,true,0.001841,true,0.018848,true,0.000000
89,2025-11-29 16:45:13,8.008715,9.297461,1,in,0.959473,out,0.012843,out,0.029968,in,0.959473,false,-0.946631,false,-0.929505,true,0.000000
90,2025-11-29 16:45:13,5.294621,8.901188,0,out,0.010881,out,0.012875,out,0.030241,out,0.010881,true,0.001994,true,0.019360,true,0.000000
91,2025-11-29 16:45:13,7.816913,10.027620,1,in,0.847312,out,0.012853,out,0.030107,in,0.847313,false,-0.834459,false,-0.817205,true,0.000000
92,2025-11-29 16:45:13,10.655522,5.161647,1,in,0.521000,out,0.012929,out,0.027633,in,0.521001,false,-0.508071,false,-0.493367,true,0.000000
93,2025-11-29 16:45:13,8.633190,5.027680,1,in,0.839241,out,0.012865,out,0.029470,in,0.839241,false,-0.826376,false,-0.809771,true,0.000000
94,2025-11-29 16:45:13,1.897440,1.839716,1,in,0.974906,out,0.012803,out,0.015704,in,0.974906,false,-0.962103,false,-0.959202,true,0.000000
95,2025-11-29 16:45:13,8.455851,5.172754,1,in,0.918158,out,0.012859,out,0.029530,in,0.918158,false,-0.905299,false,-0.888629,true,-0.000000
96,2025-11-29 16:45:13,10.624605,5.468290,1,in,0.623535,out,0.012922,out,0.028494,in,0.623536,false,-0.610614,false,-0.595042,true,0.000001
97,2025-11-29 16:45:13,7.183712,7.380356,1,in,0.985054,out,0.012831,out,0.029810,in,0.985054,false,-0.972223,false,-0.955244,true,0.000000
98,2025-11-29 16:45:13,9.288548,7.515033,1,in,0.924127,out,0.012855,out,0.029682,in,0.924127,false,-0.911272,false,-0.894445,true,0.000000
99,2025-11-29 16:45:13,6.973529,6.865564,1,in,0.980714,out,0.012829,out,0.029775,in,0.980714,false,-0.967885,false,-0.950939,true,0.000000
100,2025-11-29 16:45:13,4.319213,0.851646,0,out,0.132206,out,0.012816,out,0.028809,out,0.132206,true,-0.119391,true,-0.103397,true,-0.000000
101,2025-11-29 16:45:13,10.526747,5.119110,1,in,0.603322,out,0.012925,out,0.027830,in,0.603322,false,-0.590398,false,-0.575492,true,-0.000000
102,2025-11-29 16:45:13,8.714157,11.896011,0,out,0.017335,out,0.012885,out,0.030354,out,0.017336,true,-0.004450,true,0.013018,true,0.000000
103,2025-11-29 16:45:13,4.768979,11.980591,0,out,0.009939,out,0.013306,out,0.031296,out,0.009939,true,0.003367,true,0.021357,true,-0.000000
104,2025-11-29 16:45:13,8.405577,9.716316,1,in,0.788023,out,0.012846,out,0.029986,in,0.788023,false,-0.775177,false,-0.758036,true,0.000000
105,2025-11-29 16:45:13,6.844038,0.808800,0,out,0.011143,out,0.012871,out,0.017624,out,0.011143,true,0.001728,true,0.006480,true,0.000000
106,2025-11-29 16:45:13,10.085470,6.604805,1,in,0.803874,out,0.012884,out,0.029543,in,0.803875,false,-0.790990,false,-0.774332,true,0.000000
107,2025-11-29 16:45:13,10.195049,3.449563,0,out,0.033063,out,0.012946,out,0.016951,out,0.033063,true,-0.020116,true,-0.016112,true,0.000000
108,2025-11-29 16:45:13,1.766835,7.533540,0,out,0.011013,out,0.012987,out,0.011047,out,0.011013,true,0.001974,true,0.000034,true,0.000000
109,2025-11-29 16:45:13,9.045150,8.777046,1,in,0.733829,out,0.012846,out,0.029810,in,0.733829,false,-0.720983,false,-0.704019,true,0.000001
110,2025-11-29 16:45:13,9.004111,6.373930,1,in,0.983347,out,0.012859,out,0.029613,in,0.983347,false,-0.970487,false,-0.953734,true,0.000000
111,2025-11-29 16:45:13,3.804068,1.832511,1,in,0.972162,out,0.012811,out,0.028732,in,0.972162,false,-0.959351,false,-0.943430,true,0.000000
112,2025-11-29 16:45:13,5.944320,5.363369,1,in,0.850784,out,0.012822,out,0.029711,in,0.850784,false,-0.837962,false,-0.821073,true,-0.000000
113,2025-11-29 16:45:13,8.347435,8.326200,1,in,0.974606,out,0.012840,out,0.029817,in,0.974606,false,-0.961766,false,-0.944789,true,0.000000
114,2025-11-29 16:45:13,7.758472,0.694167,0,out,0.010966,out,0.012902,out,0.011719,out,0.010966,true,0.001936,true,0.000753,true,0.000000
115,2025-11-29 16:45:13,8.078696,6.939363,1,in,0.987166,out,0.012840,out,0.029710,in,0.987166,false,-0.974327,false,-0.957456,true,0.000000
116,2025-11-29 16:45:13,8.970793,5.313592,1,in,0.957494,out,0.012870,out,0.029471,in,0.957494,false,-0.944624,false,-0.928023,true,0.000000
117,2025-11-29 16:45:13,7.183748,8.008221,1,in,0.985212,out,0.012833,out,0.029879,in,0.985212,false,-0.972379,false,-0.955332,true,0.000000
118,2025-11-29 16:45:13,7.240967,7.961447,1,in,0.985827,out,0.012833,out,0.029869,in,0.985827,false,-0.972994,false,-0.955958,true,0.000000
119,2025-11-29 16:45:13,2.814556,1.675311,1,in,0.985185,out,0.012804,out,0.024790,in,0.985185,false,-0.972381,false,-0.960395,true,0.000000
120,2025-11-29 16:45:13,10.051100,5.517099,1,in,0.919906,out,0.012899,out,0.029153,in,0.919906,false,-0.907006,false,-0.890753,true,0.000000
121,2025-11-29 16:45:13,10.819250,0.121430,0,out,0.009106,out,0.013094,out,0.011015,out,0.009106,true,0.003988,true,0.001909,true,0.000000
122,2025-11-29 16:45:13,1.477404,1.007259,1,in,0.722010,out,0.012691,out,0.012136,in,0.722009,false,-0.709318,false,-0.709874,true,-0.000000
123,2025-11-29 16:45:13,2.035140,2.121098,1,in,0.978011,out,0.012806,out,0.017498,in,0.978011,false,-0.965205,false,-0.960513,true,0.000000
124,2025-11-29 16:45:13,7.101886,2.892488,0,out,0.012438,out,0.012853,out,0.028954,out,0.012438,true,0.000415,true,0.016515,true,0.000000
125,2025-11-29 16:45:13,11.010770,3.352113,0,out,0.045985,out,0.012992,out,0.011815,out,0.045985,true,-0.032992,true,-0.034170,true,0.000000
126,2025-11-29 16:45:13,5.547883,8.675940,0,out,0.010886,out,0.012860,out,0.030161,out,0.010886,true,0.001974,true,0.019275,true,0.000000
127,2025-11-29 16:45:13,8.951601,6.799499,1,in,0.981261,out,0.012855,out,0.029649,in,0.981261,false,-0.968407,false,-0.951612,true,0.000000
128,2025-11-29 16:45:13,0.794259,7.262157,0,out,0.011015,out,0.013013,out,0.011016,out,0.011015,true,0.001998,true,0.000001,true,0.000000
129,2025-11-29 16:45:13,3.303117,2.185158,1,in,0.984769,out,0.012807,out,0.027690,in,0.984769,false,-0.971961,false,-0.957078,true,0.000000
130,2025-11-29 16:45:13,5.567678,5.895504,1,in,0.781442,out,0.012821,out,0.029773,in,0.781442,false,-0.768622,false,-0.751669,true,-0.000000
131,2025-11-29 16:45:13,0.143556,1.958001,0,out,0.014215,out,0.012887,out,0.011005,out,0.014215,true,-0.001328,true,-0.003210,true,0.000000
132,2025-11-29 16:45:13,1.429723,11.378531,0,out,0.011006,out,0.013559,out,0.011033,out,0.011006,true,0.002553,true,0.000027,true,0.000000
133,2025-11-29 16:45:13,8.405743,4.056250,0,out,0.028046,out,0.012871,out,0.029051,out,0.028046,true,-0.015175,true,0.001005,true,-0.000000
134,2025-11-29 16:45:13,2.158635,2.063190,1,in,0.983759,out,0.012805,out,0.018927,in,0.983759,false,-0.970954,false,-0.964832,true,0.000000
135,2025-11-29 16:45:13,9.480856,7.113324,1,in,0.928685,out,0.012863,out,0.029641,in,0.928685,false,-0.915822,false,-0.899044,true,0.000000
136,2025-11-29 16:45:13,6.576892,6.386694,1,in,0.966108,out,0.012826,out,0.029758,in,0.966108,false,-0.953282,false,-0.936349,true,0.000000
137,2025-11-29 16:45:13,10.597416,5.263342,1,in,0.607005,out,0.012925,out,0.028078,in,0.607005,false,-0.594080,false,-0.578927,true,0.000001
138,2025-11-29 16:45:13,1.378427,7.646440,0,out,0.011013,out,0.013029,out,0.011027,out,0.011013,true,0.002016,true,0.000014,true,0.000000
139,2025-11-29 16:45:13,10.564462,3.910313,0,out,0.067362,out,0.012953,out,0.018709,out,0.067362,true,-0.054409,true,-0.048653,true,-0.000000
140,2025-11-29 16:45:13,7.101175,3.243074,0,out,0.013308,out,0.012849,out,0.029264,out,0.013308,true,-0.000459,true,0.015955,true,0.000000
141,2025-11-29 16:45:13,5.338906,2.871996,0,out,0.015227,out,0.012823,out,0.029552,out,0.015227,true,-0.002404,true,0.014325,true,-0.000000
142,2025-11-29 16:45:13,5.658882,2.825014,0,out,0.013594,out,0.012828,out,0.029527,out,0.013594,true,-0.000766,true,0.015933,true,0.000000
143,2025-11-29 16:45:13,8.262826,9.562778,1,in,0.887188,out,0.012845,out,0.029979,in,0.887188,false,-0.874343,false,-0.857209,true,0.000000
144,2025-11-29 16:45:13,4.145586,1.838987,1,in,0.936825,out,0.012814,out,0.029122,in,0.936825,false,-0.924011,false,-0.907703,true,0.000000
145,2025-11-29 16:45:13,8.968870,7.061706,1,in,0.977315,out,0.012853,out,0.029667,in,0.977316,false,-0.964463,false,-0.947648,true,0.000000
146,2025-11-29 16:45:13,0.636477,6.829501,0,out,0.011017,out,0.012978,out,0.011013,out,0.011017,true,0.001961,true,-0.000004,true,0.000000
147,2025-11-29 16:45:13,10.152932,9.057529,0,out,0.141901,out,0.012861,out,0.029756,out,0.141901,true,-0.129040,true,-0.112145,true,0.000000
148,2025-11-29 16:45:13,3.686658,10.478230,0,out,0.010960,out,0.013179,out,0.028054,out,0.010960,true,0.002219,true,0.017094,true,0.000000
149,2025-11-29 16:45:13,6.598948,10.168039,0,out,0.006997,out,0.012883,out,0.030316,out,0.006997,true,0.005886,true,0.023319,true,0.000000
150,2025-11-29 16:45:13,9.731436,3.370727,0,out,0.022855,out,0.012927,out,0.020151,out,0.022855,true,-0.009927,true,-0.002703,true,0.000000
151,2025-11-29 16:45:13,7.519622,7.807403,1,in,0.987071,out,0.012834,out,0.029828,in,0.987071,false,-0.974238,false,-0.957243,true,0.000000
152,2025-11-29 16:45:13,4.331393,10.113495,0,out,0.010918,out,0.013026,out,0.030617,out,0.010918,true,0.002109,true,0.019700,true,0.000000
153,2025-11-29 16:45:13,2.759738,0.846597,0,out,0.456470,out,0.012766,out,0.023415,out,0.456470,true,-0.443704,true,-0.433055,true,0.000000
154,2025-11-29 16:45:13,0.547059,11.400453,0,out,0.011010,out,0.011473,out,0.011021,out,0.011010,true,0.000463,true,0.000011,true,0.000000
155,2025-11-29 16:45:13,6.604028,0.401238,0,out,0.011186,out,0.012869,out,0.015441,out,0.011186,true,0.001683,true,0.004255,true,0.000000
156,2025-11-29 16:45:13,1.424193,0.809496,0,out,0.169551,out,0.012576,out,0.011916,out,0.169551,true,-0.156975,true,-0.157634,true,-0.000000
157,2025-11-29 16:45:13,1.947055,1.818350,1,in,0.978405,out,0.012803,out,0.016245,in,0.978405,false,-0.965602,false,-0.962160,true,0.000000
158,2025-11-29 16:45:13,9.506060,8.270994,0,in,0.606324,out,0.012854,out,0.029730,in,0.606324,false,-0.593470,false,-0.576595,true,0.000000
159,2025-11-29 16:45:13,3.488734,8.428966,0,out,0.011002,out,0.012936,out,0.029107,out,0.011002,true,0.001934,true,0.018106,true,0.000000
160,2025-11-29 16:45:13,9.125493,9.013988,0,in,0.580329,out,0.012847,out,0.029829,in,0.580329,false,-0.567482,false,-0.550500,true,0.000000
161,2025-11-29 16:45:13,11.276329,6.677030,0,out,0.150540,out,0.012924,out,0.029265,out,0.150540,true,-0.137616,true,-0.121275,true,0.000000
162,2025-11-29 16:45:13,8.068333,4.620655,0,out,0.233284,out,0.012856,out,0.029486,out,0.233284,true,-0.220427,true,-0.203797,true,0.000000
163,2025-11-29 16:45:13,6.800005,5.417534,1,in,0.921031,out,0.012830,out,0.029673,in,0.921031,false,-0.908202,false,-0.891359,true,-0.000000
164,2025-11-29 16:45:13,4.671518,6.368940,0,out,0.011639,out,0.012826,out,0.029852,out,0.011639,true,0.001187,true,0.018213,true,0.000000
165,2025-11-29 16:45:13,9.243334,4.268392,0,out,0.066873,out,0.012893,out,0.028327,out,0.066873,true,-0.053980,true,-0.038546,true,-0.000000
166,2025-11-29 16:45:13,10.953692,9.704353,0,out,0.081150,out,0.012872,out,0.029760,out,0.081150,true,-0.068278,true,-0.051390,true,0.000000
167,2025-11-29 16:45:13,6.984017,10.037497,0,out,0.006331,out,0.012867,out,0.030226,out,0.006331,true,0.006536,true,0.023895,true,0.000000
168,2025-11-29 16:45:13,0.335541,11.671211,0,out,0.011010,out,0.011045,out,0.011019,out,0.011010,true,0.000035,true,0.000008,true,0.000000
169,2025-11-29 16:45:13,11.908621,8.277858,0,out,0.078187,out,0.012919,out,0.029570,out,0.078187,true,-0.065268,true,-0.048616,true,0.000000
170,2025-11-29 16:45:13,11.872072,9.304782,0,out,0.072881,out,0.012901,out,0.029667,out,0.072881,true,-0.059981,true,-0.043214,true,0.000000
171,2025-11-29 16:45:13,11.759104,4.729204,0,out,0.048076,out,0.012996,out,0.017154,out,0.048076,true,-0.035080,true,-0.030923,true,-0.000000
