experiment_id, actualImage, before_data_and_weigths_rotation_prediction, before_data_and_weigths_rotation_confidence, after_data_and_before_weigths_rotation_prediction, after_data_and_before_weigths_rotation_confidence, before_data_and_after_weigths_rotation_prediction, before_data_and_after_weigths_rotation_confidence, after_data_and_weigths_rotation_prediction, after_data_and_weigths_rotation_confidence, after_data_and_before_weigths_rotation_prediction_match, after_data_and_before_weigths_rotation_confidence_change, before_data_and_after_weigths_rotation_prediction_match, before_data_and_after_weigths_rotation_confidence_change, after_data_and_weigths_rotation_prediction_match, after_data_and_weigths_rotation_confidence_change
           32,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           33,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           34,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           35,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           36,           0,                                           0,                                    1.000000,                                                 6,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           37,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           38,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           39,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 2,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           40,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 3,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           41,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           42,           0,                                           0,                                    1.000000,                                                 5,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           43,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           44,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           45,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           46,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           47,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           48,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           49,           0,                                           0,                                    1.000000,                                                 1,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           50,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           51,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           52,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 2,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           53,           0,                                           0,                                    1.000000,                                                 5,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           54,           0,                                           0,                                    1.000000,                                                 7,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           55,           0,                                           0,                                    1.000000,                                                 7,                                          1.000000,                                                 8,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           56,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           57,           0,                                           0,                                    1.000000,                                                 7,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           58,           0,                                           0,                                    1.000000,                                                 2,                                          1.000000,                                                 1,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
           59,           0,                                           0,                                    1.000000,                                                 5,                                          1.000000,                                                 5,                                          1.000000,                                          0,                                   1.000000, false                                                  , 0.000000                                                , false                                                  , 0.000000                                                , true                                            ,                                          0.000000
