x,y,class,class_name
1.449162,1.618595,0,inside
3.976642,1.804080,0,inside
0.237754,4.801520,1,outside
4.239391,5.145465,1,outside
3.955964,3.423229,1,outside
2.502894,2.844400,0,inside
1.379012,0.023437,1,outside
2.742739,0.450702,1,outside
0.887928,4.800240,1,outside
3.410579,1.759928,0,inside
5.021458,3.039825,1,outside
5.787459,2.886635,1,outside
1.147224,1.145930,0,inside
2.612452,3.986355,1,outside
4.660794,1.357744,0,inside
3.827806,1.912716,0,inside
3.295909,2.824021,0,inside
4.084099,1.644043,0,inside
3.366490,1.292874,0,inside
5.977777,4.185969,1,outside
3.930512,2.471483,0,inside
3.852576,5.436999,1,outside
3.193636,2.806493,0,inside
2.613818,0.873990,1,outside
3.492791,3.067708,0,inside
4.409848,0.979533,1,outside
3.093331,3.170537,0,inside
3.757687,2.670258,0,inside
1.609682,3.565511,1,outside
2.795249,1.414530,0,inside
3.620056,2.248649,0,inside
0.152980,3.951226,1,outside
3.962590,2.057613,0,inside
5.953253,3.694669,1,outside
2.291411,1.040912,0,inside
3.309121,2.194531,0,inside
1.198015,2.664775,1,outside
2.775484,2.836058,0,inside
2.511557,2.066616,0,inside
5.644336,5.613004,1,outside
4.457456,1.524894,0,inside
4.802326,1.046790,0,inside
1.287380,1.250502,0,inside
3.885595,2.642794,0,inside
2.219606,1.109344,0,inside
4.544437,1.342007,0,inside
3.788913,4.922713,1,outside
3.114989,1.398668,0,inside
3.119961,2.042463,0,inside
5.830251,3.969128,1,outside
1.993408,1.005413,0,inside
3.684743,0.162876,1,outside
3.565606,1.702478,0,inside
5.719175,3.399212,1,outside
2.012897,1.530629,0,inside
3.238036,5.557857,1,outside
5.984469,2.563469,1,outside
3.810102,4.473367,1,outside
3.110306,3.678178,0,inside
2.879113,2.741188,0,inside
2.911524,1.708634,0,inside
2.754265,1.775189,0,inside
5.310800,4.139048,1,outside
1.002239,1.038516,1,outside
2.097686,1.403061,0,inside
3.097367,2.588664,0,inside
4.104283,0.911657,1,outside
2.744827,3.096969,0,inside
0.107869,4.645376,1,outside
2.495035,2.743624,0,inside
2.611133,2.600332,0,inside
0.823991,4.169845,1,outside
1.804872,4.656969,1,outside
4.096063,1.840315,0,inside
2.745186,3.304319,0,inside
2.681277,2.673260,0,inside
4.255949,1.499672,0,inside
2.607011,1.730644,0,inside
5.386192,4.410014,1,outside
3.473972,2.597169,0,inside
5.663102,5.509384,1,outside
0.918334,1.466111,1,outside
2.925696,1.031949,0,inside
0.788198,3.798290,1,outside
2.840532,1.403192,0,inside
3.376642,1.056185,0,inside
1.137573,0.400040,1,outside
3.849995,2.150863,0,inside
3.150014,1.881763,0,inside
5.078882,0.239355,1,outside
1.984568,2.037289,0,inside
3.639977,3.770584,1,outside
1.991245,2.249529,0,inside
4.274952,3.734608,1,outside
2.254372,1.003989,0,inside
5.389771,2.235824,1,outside
2.922495,2.427694,0,inside
5.967527,0.902583,1,outside
1.620021,1.309460,0,inside
5.942949,5.659305,1,outside
2.191157,4.732457,1,outside
2.745290,4.673036,1,outside
2.609809,0.452441,1,outside
1.255340,1.680835,1,outside
2.058937,5.523098,1,outside
2.969094,1.178935,0,inside
2.305824,2.819596,0,inside
3.104551,4.123001,1,outside
3.134509,1.234087,0,inside
2.585426,0.017441,1,outside
4.148306,1.663165,0,inside
1.614930,1.656881,0,inside
3.420338,3.971542,1,outside
1.147656,1.571088,1,outside
0.686666,0.562378,1,outside
3.669577,3.259234,1,outside
4.520423,3.504804,1,outside
1.161151,1.645466,1,outside
1.145044,4.144433,1,outside
4.884577,3.850399,1,outside
0.577262,5.115925,1,outside
2.464209,1.918339,0,inside
5.031857,4.691504,1,outside
5.312057,0.798846,1,outside
3.482160,3.075093,0,inside
3.088145,2.443998,0,inside
2.154794,2.954882,1,outside
0.591818,0.241978,1,outside
1.922640,3.638196,1,outside
2.983808,1.717132,0,inside
3.740129,1.724446,0,inside
2.179479,0.077631,1,outside
1.105881,2.846529,1,outside
0.734579,0.685658,1,outside
1.052263,2.451882,1,outside
1.300018,0.556899,1,outside
3.446766,4.867226,1,outside
3.487884,0.380837,1,outside
2.974726,2.064199,0,inside
2.510870,1.664482,0,inside
2.800532,1.256978,0,inside
3.581576,2.305265,0,inside
4.896722,1.910452,1,outside
3.940794,4.439351,1,outside
0.741276,3.192458,1,outside
4.424731,0.344791,1,outside
1.083681,1.389610,1,outside
4.661067,2.857609,1,outside
5.525727,3.662877,1,outside
1.734261,5.145761,1,outside
4.674600,3.713932,1,outside
4.034258,3.676783,1,outside
2.120406,2.202608,0,inside
3.865109,2.529164,0,inside
1.727619,2.054463,0,inside
5.552717,4.184886,1,outside
3.500256,3.060918,0,inside
4.317977,1.060299,0,inside
1.764290,1.444941,0,inside
3.101804,3.262871,0,inside
2.463239,3.088363,0,inside
1.985861,1.746335,0,inside
2.694207,0.342034,1,outside
2.714520,5.047149,1,outside
3.010381,2.443117,0,inside
3.571751,3.932378,1,outside
2.781093,2.328903,0,inside
2.747241,3.510216,0,inside
0.440671,0.994861,1,outside
4.709393,3.961174,1,outside
1.142339,2.718104,1,outside
5.337878,3.825843,1,outside
3.348322,2.588227,0,inside
2.783495,5.266724,1,outside
4.043542,2.295315,0,inside
3.075218,4.681253,1,outside
1.589598,1.138672,0,inside
3.454541,3.173954,0,inside
1.120246,4.245322,1,outside
5.102707,2.870703,1,outside
3.023552,2.859931,0,inside
3.140762,1.564261,0,inside
3.158249,0.459889,1,outside
4.838252,5.283392,1,outside
2.710522,5.524129,1,outside
2.500245,2.574719,0,inside
0.549080,2.662346,1,outside
3.220960,2.865231,0,inside
3.254352,2.082001,0,inside
4.036467,0.784784,1,outside
2.647485,2.946069,0,inside
0.412213,5.465681,1,outside
3.340146,3.794237,1,outside
1.531061,5.477874,1,outside
5.930424,1.437645,1,outside
3.416687,2.487334,0,inside
0.093601,3.302787,1,outside
2.764274,2.529699,0,inside
4.023105,0.774746,1,outside
1.594020,3.422024,1,outside
3.660896,1.253443,0,inside
0.035978,5.105494,1,outside
3.952416,0.789474,1,outside
4.089334,2.153297,0,inside
1.298259,4.708380,1,outside
3.736100,1.024739,0,inside
5.007289,3.378909,1,outside
1.668199,1.286065,0,inside
0.949458,4.358673,1,outside
0.503174,0.317260,1,outside
1.799824,4.429629,1,outside
3.481534,2.378908,0,inside
0.697525,4.240691,1,outside
2.637415,3.306898,0,inside
0.792116,4.216137,1,outside
2.807856,1.943881,0,inside
2.978768,1.884662,0,inside
0.712757,3.662592,1,outside
4.315125,0.062621,1,outside
1.969040,1.770124,0,inside
5.129972,0.464803,1,outside
3.070360,0.532489,1,outside
3.036211,2.847289,0,inside
3.089623,1.931533,0,inside
2.148522,2.708005,0,inside
3.372047,2.136480,0,inside
5.084128,2.202512,1,outside
5.379104,0.872667,1,outside
3.712732,1.644715,0,inside
2.214749,4.029440,1,outside
4.141180,1.637987,0,inside
1.090958,0.083615,1,outside
1.108818,0.590006,1,outside
4.216330,1.371918,0,inside
2.599543,4.052263,1,outside
0.978008,0.290627,1,outside
5.057229,2.123241,1,outside
3.602019,1.744953,0,inside
2.031995,2.333241,0,inside
1.936101,4.050766,1,outside
2.249456,3.352334,1,outside
2.516055,2.986495,0,inside
2.207618,3.604330,1,outside
4.167253,1.243854,0,inside
0.895846,5.849961,1,outside
2.339512,1.238924,0,inside
3.875932,5.802000,1,outside
0.611705,1.726648,1,outside
2.828932,1.365866,0,inside
3.168867,1.917178,0,inside
2.224990,4.186822,1,outside
3.111648,3.246977,0,inside
2.320029,2.421229,0,inside
4.257936,0.725518,1,outside
1.930763,0.072937,1,outside
5.671088,0.425536,1,outside
2.465080,1.989713,0,inside
4.366462,3.009107,1,outside
0.202887,2.098264,1,outside
5.657756,3.315955,1,outside
4.213776,4.182074,1,outside
3.351125,0.643088,1,outside
3.271784,3.032236,0,inside
4.278520,1.014545,0,inside
2.185632,1.695461,0,inside
5.190516,5.901302,1,outside
0.445718,5.270670,1,outside
3.317666,1.948279,0,inside
4.319039,1.019847,0,inside
3.556051,1.541744,0,inside
5.956104,0.765549,1,outside
3.979756,0.337141,1,outside
2.958591,3.178552,0,inside
3.531481,0.171244,1,outside
3.273542,2.069380,0,inside
0.579144,3.187300,1,outside
2.033659,2.408316,0,inside
5.923888,5.399441,1,outside
4.154202,2.741054,1,outside
1.747066,4.326097,1,outside
2.999080,2.776354,0,inside
2.463384,2.794145,0,inside
4.399628,1.896882,0,inside
4.862585,0.714286,1,outside
3.887686,1.310760,0,inside
0.517979,5.831902,1,outside
2.675215,3.430018,0,inside
3.901383,2.218654,0,inside
5.001615,2.404326,1,outside
1.913740,1.085273,0,inside
2.141931,2.324015,0,inside
1.924745,1.291132,0,inside
4.849289,3.766477,1,outside
5.512309,2.789836,1,outside
5.852809,5.627358,1,outside
2.101941,3.193903,1,outside
3.241281,1.441432,0,inside
5.334844,1.062632,1,outside
0.155838,0.636701,1,outside
3.771454,2.514161,0,inside
2.960576,3.399184,0,inside
1.417012,0.554780,1,outside
1.917845,1.906138,0,inside
0.136958,3.426540,1,outside
0.062822,4.134700,1,outside
2.785987,2.478375,0,inside
3.555946,2.887555,0,inside
5.472464,3.723252,1,outside
2.114385,1.874170,0,inside
1.797338,2.781696,1,outside
2.494454,3.214695,0,inside
3.439605,2.842873,0,inside
2.826815,1.058304,0,inside
2.778099,5.673534,1,outside
4.000640,5.681282,1,outside
3.006444,1.396983,0,inside
3.292367,2.793013,0,inside
1.800611,2.823781,1,outside
4.330222,1.776567,0,inside
5.203287,2.837256,1,outside
3.038911,5.355996,1,outside
3.028400,2.969954,0,inside
3.072295,1.195616,0,inside
0.806804,4.386139,1,outside
0.278093,2.793677,1,outside
3.095695,1.862751,0,inside
2.716516,2.039432,0,inside
1.068415,2.779369,1,outside
4.975082,5.563282,1,outside
1.584641,1.773933,0,inside
3.390502,2.160920,0,inside
4.296227,5.271207,1,outside
2.974328,2.867033,0,inside
2.216261,2.276830,0,inside
5.584803,1.508718,1,outside
5.624431,5.930474,1,outside
3.785758,2.314724,0,inside
2.382186,1.603015,0,inside
4.119440,1.176527,0,inside
2.682576,1.933978,0,inside
0.715250,1.799233,1,outside
2.845959,3.776881,1,outside
2.399209,1.619417,0,inside
4.370941,1.208193,0,inside
5.178366,0.681795,1,outside
4.086941,1.939527,0,inside
1.782401,2.183410,1,outside
2.261687,5.137409,1,outside
1.834641,1.054790,0,inside
4.516174,5.145242,1,outside
0.841124,1.790681,1,outside
4.409713,3.252223,1,outside
2.116586,1.166044,0,inside
2.584622,3.364472,0,inside
4.371607,1.674845,0,inside
5.940282,1.672877,1,outside
1.919619,1.109449,0,inside
1.587946,1.059451,0,inside
3.326737,3.300380,0,inside
4.158391,2.193109,0,inside
4.382739,5.876396,1,outside
3.233717,3.515940,0,inside
1.214714,4.101454,1,outside
2.487634,1.455749,0,inside
1.936325,1.624533,0,inside
2.156807,1.123820,0,inside
2.033207,2.108271,0,inside
2.429352,1.740435,0,inside
3.560645,1.583182,0,inside
2.796236,1.895813,0,inside
4.889421,1.644455,1,outside
1.095624,0.148913,1,outside
3.999558,2.680343,1,outside
2.207275,2.561316,0,inside
1.877974,3.908348,1,outside
3.030473,2.636230,0,inside
2.703217,3.134697,0,inside
3.198210,2.410973,0,inside
4.021085,4.571068,1,outside
3.627867,2.388390,0,inside
2.731477,1.357741,0,inside
2.912235,2.639533,0,inside
4.268296,4.858113,1,outside
3.108410,1.025660,0,inside
0.361053,5.837304,1,outside
2.372003,1.936332,0,inside
3.115222,5.668800,1,outside
3.409993,3.032907,0,inside
2.538462,2.591404,0,inside
2.762269,1.148935,0,inside
4.689698,3.529454,1,outside
3.882896,1.986305,0,inside
5.375067,3.873096,1,outside
2.115569,2.546127,0,inside
4.135581,1.890691,0,inside
2.721408,2.176877,0,inside
4.870451,4.943171,1,outside
1.548826,5.026841,1,outside
3.068086,1.513709,0,inside
2.918525,1.409467,0,inside
3.058217,2.627640,0,inside
3.619762,1.726919,0,inside
0.058913,5.467417,1,outside
0.925615,4.382485,1,outside
0.318783,4.794856,1,outside
2.974481,3.591864,0,inside
4.357057,0.808157,1,outside
3.189508,3.575739,0,inside
2.502777,2.531390,0,inside
1.020405,3.193401,1,outside
1.574719,1.209153,0,inside
0.694678,4.343772,1,outside
3.606810,3.415880,1,outside
3.077190,5.510025,1,outside
2.011852,2.407918,0,inside
5.174828,1.186993,1,outside
3.568786,1.886520,0,inside
2.479866,3.825705,1,outside
1.166386,5.400866,1,outside
2.869230,3.702921,0,inside
0.317998,3.818576,1,outside
2.463480,2.377550,0,inside
3.705724,1.003353,0,inside
2.583098,1.279598,0,inside
2.516378,3.256078,0,inside
3.399828,1.033256,0,inside
4.512988,2.702468,1,outside
4.371599,5.646210,1,outside
4.742884,1.232545,0,inside
0.440339,1.708489,1,outside
5.751822,2.020381,1,outside
0.714744,3.611829,1,outside
1.825692,2.858844,1,outside
2.662683,1.200345,0,inside
3.446418,1.732553,0,inside
2.724089,1.142182,0,inside
5.467443,0.825253,1,outside
4.451945,0.231668,1,outside
1.808280,1.774856,0,inside
5.252911,0.503884,1,outside
4.385174,4.278704,1,outside
2.237315,2.853653,0,inside
2.832324,1.291897,0,inside
5.973907,4.863090,1,outside
1.779104,1.816237,0,inside
4.101345,4.370534,1,outside
4.418621,2.633955,1,outside
3.606771,2.291479,0,inside
1.841712,1.323245,0,inside
3.132813,3.685464,0,inside
1.700440,1.154433,0,inside
3.184462,2.535613,0,inside
1.492581,0.814568,1,outside
2.647822,1.291695,0,inside
1.324152,5.407941,1,outside
2.073865,2.266673,0,inside
4.718365,1.460315,1,outside
5.574012,4.551916,1,outside
0.336222,1.769905,1,outside
3.006733,2.602674,0,inside
5.381034,0.503549,1,outside
2.904699,2.016102,0,inside
1.899610,4.805255,1,outside
1.717790,0.902932,1,outside
0.342497,2.525655,1,outside
5.139442,3.035098,1,outside
3.074590,1.713092,0,inside
3.593096,2.239825,0,inside
5.396019,3.082364,1,outside
2.539901,2.935994,0,inside
2.216556,1.305638,0,inside
2.273555,1.307091,0,inside
4.536809,1.425910,0,inside
2.332337,1.507345,0,inside
2.199429,0.091768,1,outside
4.425052,2.604640,1,outside
4.781446,1.203519,0,inside
3.088971,2.613744,0,inside
2.897727,3.701491,0,inside
3.070215,2.255118,0,inside
4.020638,0.615437,1,outside
5.696124,5.021311,1,outside
3.272512,1.933893,0,inside
3.385780,1.542049,0,inside
3.914663,3.556545,1,outside
0.599334,4.589864,1,outside
0.989322,0.694814,1,outside
0.805056,0.541937,1,outside
1.784045,3.670164,1,outside
1.097601,3.860368,1,outside
4.811490,1.099187,0,inside
0.741498,2.425692,1,outside
3.720043,1.803469,0,inside
3.108917,2.171336,0,inside
2.712670,3.231003,0,inside
5.079296,4.280636,1,outside
1.056723,3.519018,1,outside
0.099725,5.346630,1,outside
4.241354,3.194224,1,outside
2.593504,2.691352,0,inside
0.509907,3.480502,1,outside
4.026165,2.535877,1,outside
2.851474,2.428662,0,inside
4.803959,1.672248,1,outside
1.175044,3.589605,1,outside
2.355806,3.259232,1,outside
5.200529,5.894338,1,outside
5.212107,0.363745,1,outside
4.305220,1.342604,0,inside
3.889202,2.609658,0,inside
3.305357,2.625544,0,inside
3.439802,2.335090,0,inside
3.544878,2.744323,0,inside
5.019280,5.266556,1,outside
0.614700,3.695344,1,outside
5.396573,5.142948,1,outside
2.891688,3.454332,0,inside
4.419574,0.582826,1,outside
2.957994,1.715263,0,inside
1.191380,1.080192,0,inside
4.416579,1.676783,0,inside
3.680047,1.666641,0,inside
1.014889,3.268884,1,outside
2.942564,2.919165,0,inside
1.271986,4.540475,1,outside
2.281324,5.375569,1,outside
4.171003,2.219541,0,inside
1.708516,1.604641,0,inside
3.017364,1.149072,0,inside
3.617539,0.054663,1,outside
2.683878,3.056585,0,inside
2.752914,3.684837,1,outside
2.882269,3.364705,0,inside
2.450091,2.043343,0,inside
1.647296,1.477954,0,inside
0.241728,0.350664,1,outside
2.485547,3.108473,0,inside
0.405811,0.198358,1,outside
5.980537,5.290123,1,outside
1.286370,1.182838,0,inside
5.135135,0.994788,1,outside
5.277822,5.825767,1,outside
2.549021,2.424333,0,inside
4.101507,1.029676,0,inside
4.669483,4.385489,1,outside
3.214688,2.706194,0,inside
3.914803,2.757517,1,outside
2.111761,3.710200,1,outside
0.009107,2.911484,1,outside
5.839247,5.692227,1,outside
1.648398,1.333894,0,inside
4.501328,1.220271,0,inside
5.674407,2.838412,1,outside
5.525793,5.821599,1,outside
1.862367,3.778457,1,outside
4.105781,4.721517,1,outside
3.523996,5.633110,1,outside
5.674712,0.589648,1,outside
3.573720,2.242112,0,inside
2.024936,4.926990,1,outside
2.117077,3.739712,1,outside
3.087989,1.884464,0,inside
0.757730,4.408039,1,outside
4.450423,1.443769,0,inside
5.664759,0.698587,1,outside
1.538959,1.277021,0,inside
2.932683,3.847046,0,inside
3.609920,2.622194,0,inside
5.762398,5.917554,1,outside
3.228483,3.051672,0,inside
2.974635,2.833669,0,inside
2.383241,2.699657,0,inside
4.543124,0.867869,1,outside
0.166314,4.833438,1,outside
1.545372,1.267834,0,inside
5.512101,2.984517,1,outside
1.552292,1.095883,0,inside
3.338244,0.022773,1,outside
2.389452,1.235731,0,inside
2.543989,1.936656,0,inside
3.502165,1.584462,0,inside
4.815422,2.321107,1,outside
3.777651,2.796797,0,inside
4.677313,1.068847,0,inside
2.564916,2.363939,0,inside
4.616702,1.346397,0,inside
2.307117,1.353841,0,inside
3.703469,2.638924,0,inside
2.710741,3.052217,0,inside
4.444043,1.044517,0,inside
3.023387,0.786253,1,outside
3.260023,1.201892,0,inside
2.447805,1.434126,0,inside
5.148104,4.812408,1,outside
1.062047,3.103421,1,outside
4.115639,1.741387,0,inside
3.254228,5.737091,1,outside
3.358273,3.328694,0,inside
1.705291,1.992001,0,inside
1.843590,1.057139,0,inside
4.467783,2.288780,1,outside
3.570406,2.039022,0,inside
3.198603,1.357965,0,inside
3.709089,1.218741,0,inside
2.936561,2.881982,0,inside
3.202874,2.485804,0,inside
3.678223,2.903513,0,inside
5.176606,4.550285,1,outside
3.594378,1.866732,0,inside
3.132385,1.118427,0,inside
2.175687,5.621108,1,outside
1.327011,2.926279,1,outside
5.413333,3.968136,1,outside
0.214001,3.681584,1,outside
1.949670,1.662566,0,inside
2.740983,2.941197,0,inside
3.143939,2.719487,0,inside
3.662624,2.449312,0,inside
2.962128,3.147979,0,inside
1.895653,0.287164,1,outside
0.687598,3.751119,1,outside
4.428587,2.723609,1,outside
3.077152,2.220335,0,inside
4.853526,1.392229,1,outside
2.419114,1.640433,0,inside
2.089220,2.533371,0,inside
3.553200,0.628814,1,outside
4.959485,2.948540,1,outside
2.410038,0.569946,1,outside
4.333819,1.093359,0,inside
2.013923,1.152641,0,inside
5.542891,0.052193,1,outside
4.669131,5.178866,1,outside
5.341677,1.057698,1,outside
5.957441,1.376247,1,outside
1.731877,5.299776,1,outside
2.317175,2.413909,0,inside
1.459444,1.538980,0,inside
5.938738,0.738098,1,outside
1.837589,1.775711,0,inside
3.414514,2.409607,0,inside
3.719330,1.740490,0,inside
2.551803,3.842265,1,outside
1.480514,2.944013,1,outside
2.779804,3.924608,1,outside
1.719746,1.858163,0,inside
5.449046,3.928976,1,outside
4.292566,2.021630,0,inside
2.326572,2.550202,0,inside
2.514632,1.816231,0,inside
3.181992,0.123658,1,outside
2.073763,1.901932,0,inside
2.180837,1.301489,0,inside
4.851535,1.092133,0,inside
0.488107,0.350338,1,outside
1.183629,1.150671,0,inside
2.365245,0.840156,1,outside
5.520754,2.305178,1,outside
2.935066,1.828982,0,inside
4.028731,2.607429,1,outside
5.312855,1.543721,1,outside
0.665211,0.619997,1,outside
3.041757,2.375572,0,inside
5.362873,0.629937,1,outside
2.208256,1.899063,0,inside
5.068228,5.056726,1,outside
5.970828,2.015528,1,outside
3.107584,2.514294,0,inside
3.434501,3.135494,0,inside
1.984705,0.330221,1,outside
4.381643,2.910297,1,outside
4.571847,5.519670,1,outside
3.087480,1.473732,0,inside
2.078367,1.747197,0,inside
2.353711,2.955668,0,inside
3.151523,2.637639,0,inside
5.490538,1.774168,1,outside
2.025739,4.605414,1,outside
4.580888,5.609834,1,outside
3.062386,2.079208,0,inside
1.270262,5.000111,1,outside
4.956772,3.823990,1,outside
3.726530,5.713447,1,outside
5.662183,4.230214,1,outside
2.752233,2.345568,0,inside
1.438565,2.943273,1,outside
1.334961,3.216202,1,outside
1.909754,2.020746,0,inside
1.328456,0.572804,1,outside
3.380820,1.718001,0,inside
4.517975,4.356930,1,outside
3.395884,2.526292,0,inside
2.950953,1.518178,0,inside
3.166261,1.287643,0,inside
2.833536,4.411536,1,outside
5.291771,3.313125,1,outside
4.108083,1.993623,0,inside
2.130522,0.659445,1,outside
4.893189,1.057929,0,inside
0.818630,1.872527,1,outside
2.333684,5.934063,1,outside
2.617905,1.116799,0,inside
1.630521,1.931791,0,inside
2.879780,2.831267,0,inside
3.267178,1.557103,0,inside
0.654648,0.428827,1,outside
3.387650,0.598492,1,outside
3.857026,1.356729,0,inside
3.844024,1.359200,0,inside
4.566259,1.841398,1,outside
0.008708,5.705981,1,outside
5.530964,0.987147,1,outside
5.649647,4.636684,1,outside
0.254384,5.265284,1,outside
4.131720,4.430075,1,outside
3.480444,1.147267,0,inside
0.338719,5.653528,1,outside
4.431344,0.877785,1,outside
3.422839,2.780990,0,inside
2.732311,2.151445,0,inside
3.120488,1.790547,0,inside
5.035009,4.437782,1,outside
3.225235,2.117984,0,inside
4.323006,4.972937,1,outside
3.971942,3.865971,1,outside
3.091458,1.426231,0,inside
3.231179,0.780172,1,outside
3.595662,5.946853,1,outside
3.051463,3.204533,0,inside
4.311729,5.736796,1,outside
4.025135,5.739883,1,outside
0.087191,1.159968,1,outside
1.283110,2.360327,1,outside
4.680551,1.126762,0,inside
4.594849,2.652694,1,outside
2.167369,1.289459,0,inside
3.308993,3.123786,0,inside
1.711010,3.060661,1,outside
4.852125,5.203158,1,outside
3.259897,2.847126,0,inside
2.119630,2.604160,0,inside
2.667211,2.299322,0,inside
2.342676,1.976439,0,inside
2.997891,3.555639,0,inside
3.011164,3.128433,0,inside
2.247658,1.259444,0,inside
5.331856,2.464550,1,outside
2.857005,3.432632,0,inside
5.547400,1.856807,1,outside
3.960162,4.057125,1,outside
4.399688,0.478950,1,outside
2.594655,1.565823,0,inside
2.610706,2.043081,0,inside
0.866833,3.809413,1,outside
2.684378,3.145708,0,inside
1.217491,0.415358,1,outside
3.732804,2.338125,0,inside
2.798361,2.163334,0,inside
4.720106,2.644259,1,outside
2.093001,2.002205,0,inside
1.768345,1.968047,0,inside
4.164051,2.881511,1,outside
4.689390,1.143851,0,inside
0.993609,2.296540,1,outside
3.893100,1.689538,0,inside
3.843739,3.321245,1,outside
3.955427,2.232124,0,inside
5.732686,3.200199,1,outside
0.461070,1.478116,1,outside
3.975514,2.713147,1,outside
3.826934,3.285326,1,outside
2.170469,1.963802,0,inside
1.417018,3.550951,1,outside
0.130922,3.822277,1,outside
1.383581,1.102145,0,inside
5.009084,3.874950,1,outside
3.774850,1.756805,0,inside
5.808819,1.697226,1,outside
3.787065,1.306261,0,inside
5.923994,1.705484,1,outside
0.582226,4.229212,1,outside
2.921574,3.525581,0,inside
3.174179,1.964616,0,inside
4.721645,1.126499,0,inside
4.880483,5.443987,1,outside
3.733985,2.520836,0,inside
0.907037,0.868451,1,outside
3.043858,1.834364,0,inside
3.938093,5.569962,1,outside
2.446771,4.969529,1,outside
5.925986,3.766177,1,outside
4.148377,1.263909,0,inside
4.313557,1.825137,0,inside
1.613196,1.573488,0,inside
5.858184,5.518301,1,outside
2.434480,1.965950,0,inside
5.530879,5.754325,1,outside
1.659243,1.628353,0,inside
3.739844,2.210176,0,inside
3.417380,2.106509,0,inside
4.007668,1.182914,0,inside
4.204651,1.947121,0,inside
0.884985,0.630603,1,outside
4.049823,5.706403,1,outside
2.702536,0.789575,1,outside
2.998327,1.816037,0,inside
0.015589,4.187014,1,outside
3.194242,3.951897,1,outside
4.319966,5.168891,1,outside
3.759234,2.519090,0,inside
2.158404,4.725381,1,outside
3.439431,2.461381,0,inside
3.853492,4.225621,1,outside
5.949399,4.911354,1,outside
2.696684,1.614683,0,inside
3.426898,2.940337,0,inside
0.632715,5.633558,1,outside
4.543566,1.369183,0,inside
3.115439,0.869624,1,outside
3.097009,3.481004,0,inside
1.870233,1.567881,0,inside
3.695905,5.188321,1,outside
2.071338,2.370380,0,inside
4.678233,2.032013,1,outside
3.095348,2.432496,0,inside
3.818465,1.875601,0,inside
3.698121,1.588338,0,inside
2.691824,2.831130,0,inside
2.505598,3.809238,1,outside
3.114510,0.971322,1,outside
4.086091,1.047100,0,inside
2.787360,4.899435,1,outside
1.276980,2.955339,1,outside
2.108801,1.035150,0,inside
2.170852,4.077232,1,outside
2.260710,0.050110,1,outside
0.876131,1.409726,1,outside
3.437696,1.186793,0,inside
3.026127,4.646458,1,outside
3.438851,2.992525,0,inside
5.681638,0.878175,1,outside
3.198667,4.007632,1,outside
3.817775,2.587151,0,inside
2.206263,1.549534,0,inside
4.779003,3.777053,1,outside
2.494763,1.082617,0,inside
1.151368,4.210001,1,outside
4.876630,0.184151,1,outside
2.848157,0.628703,1,outside
5.317299,2.790892,1,outside
2.412682,2.629889,0,inside
5.633750,3.483687,1,outside
2.251381,1.109961,0,inside
5.272738,4.609302,1,outside
1.703979,3.934024,1,outside
3.189028,1.574791,0,inside
4.330617,1.317422,0,inside
2.359609,1.534502,0,inside
3.840167,1.903196,0,inside
4.866667,3.974563,1,outside
1.717160,0.359887,1,outside
3.209297,1.649825,0,inside
